127.0.0.1 - - [03/Jun/2017:22:08:08 +0530] "GET / HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:15 +0530] "GET /ChatBoxFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:16 +0530] "GET /ChatBoxFrontEnd/App.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:16 +0530] "GET /ChatBoxFrontEnd/User/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:16 +0530] "GET /ChatBoxFrontEnd/User/UserController.js HTTP/1.1" 200 1044
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:16 +0530] "GET /ChatBoxFrontEnd/Blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:16 +0530] "GET /ChatBoxFrontEnd/Blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:18 +0530] "GET /ChatBoxFrontEnd/User/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:18 +0530] "GET /ChatBoxFrontEnd/User/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:18 +0530] "GET /ChatBoxFrontEnd/User/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:19 +0530] "GET /ChatBoxFrontEnd/img/chat1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:30 +0530] "GET /ChatBoxFrontEnd/ HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:31 +0530] "GET /ChatBoxFrontEnd/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:31 +0530] "GET /ChatBoxFrontEnd/User/UserController.js HTTP/1.1" 200 1044
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:31 +0530] "GET /ChatBoxFrontEnd/lib/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:31 +0530] "GET /ChatBoxFrontEnd/App.js HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:31 +0530] "GET /ChatBoxFrontEnd/Blog/BlogController.js HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:31 +0530] "GET /ChatBoxFrontEnd/Blog/BlogService.js HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:31 +0530] "GET /ChatBoxFrontEnd/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:31 +0530] "GET /ChatBoxFrontEnd/User/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:31 +0530] "GET /ChatBoxFrontEnd/lib/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:33 +0530] "GET /ChatBoxFrontEnd/User/Home.html HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:33 +0530] "GET /ChatBoxFrontEnd/User/login.html HTTP/1.1" 200 1987
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:33 +0530] "GET /ChatBoxFrontEnd/User/register.html HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:34 +0530] "GET /ChatBoxFrontEnd/img/chat1.png HTTP/1.1" 200 166005
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:34 +0530] "GET /favicon.ico HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:38 +0530] "GET /ChatBoxFrontEnd/resources/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:08:53 +0530] "POST /ChatBoxRestService/login HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:10:00 +0530] "GET /ChatBoxFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:10:01 +0530] "GET /ChatBoxFrontEnd/User/UserController.js HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:10:21 +0530] "POST /ChatBoxRestService/login HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:10:21 +0530] "GET /ChatBoxFrontEnd/User/AfterLogin.html HTTP/1.1" 200 3320
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:10:21 +0530] "GET /ChatBoxFrontEnd/img/social.png HTTP/1.1" 200 95528
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:10:21 +0530] "GET /ChatBoxFrontEnd/User/UserProfile.html HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:15:45 +0530] "GET /ChatBoxFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:15:45 +0530] "GET /ChatBoxFrontEnd/User/UserController.js HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [03/Jun/2017:22:16:04 +0530] "POST /ChatBoxRestService/login HTTP/1.1" 200 211
