127.0.0.1 - - [22/Jul/2017:00:14:34 +0530] "GET / HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:14:38 +0530] "GET /ChatBoxFrontEnd/ HTTP/1.1" 200 1239
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:14:38 +0530] "GET /ChatBoxFrontEnd/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:14:38 +0530] "GET /ChatBoxFrontEnd/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:14:38 +0530] "GET /ChatBoxFrontEnd/lib/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:14:39 +0530] "GET /ChatBoxFrontEnd/lib/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:14:39 +0530] "GET /ChatBoxFrontEnd/lib/angular-cookies.js HTTP/1.1" 200 10392
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:14:39 +0530] "GET /ChatBoxFrontEnd/App.js HTTP/1.1" 200 3039
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:14:39 +0530] "GET /ChatBoxFrontEnd/User/UserController.js HTTP/1.1" 200 2319
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:14:39 +0530] "GET /ChatBoxFrontEnd/User/UserService.js HTTP/1.1" 200 1576
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:14:39 +0530] "GET /ChatBoxFrontEnd/Blog/BlogController.js HTTP/1.1" 200 6724
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:14:39 +0530] "GET /ChatBoxFrontEnd/Blog/BlogService.js HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:14:39 +0530] "GET /ChatBoxFrontEnd/Job/JobService.js HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:14:39 +0530] "GET /ChatBoxFrontEnd/Job/JobController.js HTTP/1.1" 200 3253
