127.0.0.1 - - [23/Aug/2017:00:00:19 +0530] "GET / HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:22 +0530] "GET /ChatBoxFrontEnd/App.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:22 +0530] "GET /ChatBoxFrontEnd/User/UserController.js HTTP/1.1" 200 2711
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:22 +0530] "GET /ChatBoxFrontEnd/Blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:25 +0530] "GET /ChatBoxFrontEnd/User/login.html HTTP/1.1" 200 2713
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:38 +0530] "GET /ChatBoxFrontEnd/ HTTP/1.1" 200 1652
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:38 +0530] "GET /ChatBoxFrontEnd/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:38 +0530] "GET /ChatBoxFrontEnd/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:38 +0530] "GET /ChatBoxFrontEnd/lib/sockjs.js HTTP/1.1" 200 79795
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:38 +0530] "GET /ChatBoxFrontEnd/lib/stomp.js HTTP/1.1" 200 16721
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:38 +0530] "GET /ChatBoxFrontEnd/lib/fileupload.js HTTP/1.1" 200 84159
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:38 +0530] "GET /ChatBoxFrontEnd/User/UserController.js HTTP/1.1" 200 2711
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:38 +0530] "GET /ChatBoxFrontEnd/App.js HTTP/1.1" 200 4998
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:38 +0530] "GET /ChatBoxFrontEnd/lib/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:38 +0530] "GET /ChatBoxFrontEnd/User/UserService.js HTTP/1.1" 200 1919
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:38 +0530] "GET /ChatBoxFrontEnd/lib/angular-cookies.js HTTP/1.1" 200 10392
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:38 +0530] "GET /ChatBoxFrontEnd/Blog/BlogController.js HTTP/1.1" 200 3777
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:38 +0530] "GET /ChatBoxFrontEnd/Blog/BlogService.js HTTP/1.1" 200 2699
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:39 +0530] "GET /ChatBoxFrontEnd/Job/JobService.js HTTP/1.1" 200 3216
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:39 +0530] "GET /ChatBoxFrontEnd/Job/JobController.js HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:39 +0530] "GET /ChatBoxFrontEnd/Forum/ForumController.js HTTP/1.1" 200 2072
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:39 +0530] "GET /ChatBoxFrontEnd/lib/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:39 +0530] "GET /ChatBoxFrontEnd/Forum/ForumService.js HTTP/1.1" 200 1058
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:39 +0530] "GET /ChatBoxFrontEnd/Chat/ChatController.js HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:39 +0530] "GET /ChatBoxFrontEnd/Friend/FriendController.js HTTP/1.1" 200 3176
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:39 +0530] "GET /ChatBoxFrontEnd/Event/EventService.js HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:39 +0530] "GET /ChatBoxFrontEnd/Friend/FriendService.js HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:39 +0530] "GET /ChatBoxFrontEnd/Event/EventController.js HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:39 +0530] "GET /ChatBoxFrontEnd/Chat/ChatService.js HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:41 +0530] "GET /ChatBoxFrontEnd/User/Footer.html HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:41 +0530] "GET /ChatBoxFrontEnd/User/Home.html HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:00:41 +0530] "GET /ChatBoxFrontEnd/User/login.html HTTP/1.1" 200 2713
