127.0.0.1 - - [03/Sep/2017:19:44:15 +0530] "GET / HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:23 +0530] "GET /ChatBoxFrontEnd/ HTTP/1.1" 200 1652
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:23 +0530] "GET /ChatBoxFrontEnd/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:23 +0530] "GET /ChatBoxFrontEnd/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:23 +0530] "GET /ChatBoxFrontEnd/lib/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:24 +0530] "GET /ChatBoxFrontEnd/lib/sockjs.js HTTP/1.1" 200 79795
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:24 +0530] "GET /ChatBoxFrontEnd/lib/fileupload.js HTTP/1.1" 200 84159
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:24 +0530] "GET /ChatBoxFrontEnd/App.js HTTP/1.1" 200 5898
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:24 +0530] "GET /ChatBoxFrontEnd/User/UserController.js HTTP/1.1" 200 2903
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:24 +0530] "GET /ChatBoxFrontEnd/lib/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:25 +0530] "GET /ChatBoxFrontEnd/Blog/BlogController.js HTTP/1.1" 200 3859
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:25 +0530] "GET /ChatBoxFrontEnd/Blog/BlogService.js HTTP/1.1" 200 2699
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:25 +0530] "GET /ChatBoxFrontEnd/User/UserService.js HTTP/1.1" 200 1996
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:25 +0530] "GET /ChatBoxFrontEnd/Job/JobController.js HTTP/1.1" 200 4354
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:25 +0530] "GET /ChatBoxFrontEnd/Forum/ForumController.js HTTP/1.1" 200 2072
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:25 +0530] "GET /ChatBoxFrontEnd/Job/JobService.js HTTP/1.1" 200 3216
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:25 +0530] "GET /ChatBoxFrontEnd/Friend/FriendController.js HTTP/1.1" 200 3302
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:25 +0530] "GET /ChatBoxFrontEnd/Forum/ForumService.js HTTP/1.1" 200 1058
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:25 +0530] "GET /ChatBoxFrontEnd/Chat/ChatController.js HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:25 +0530] "GET /ChatBoxFrontEnd/Friend/FriendService.js HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:25 +0530] "GET /ChatBoxFrontEnd/Chat/ChatService.js HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:25 +0530] "GET /ChatBoxFrontEnd/Event/EventController.js HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:25 +0530] "GET /ChatBoxFrontEnd/Event/EventService.js HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:26 +0530] "GET /ChatBoxFrontEnd/lib/stomp.js HTTP/1.1" 200 16721
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:26 +0530] "GET /ChatBoxFrontEnd/lib/angular-cookies.js HTTP/1.1" 200 10392
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:29 +0530] "GET /ChatBoxFrontEnd/User/Footer.html HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:30 +0530] "GET /ChatBoxFrontEnd/User/Home.html HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:30 +0530] "GET /ChatBoxFrontEnd/User/login.html HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:30 +0530] "GET /ChatBoxFrontEnd/User/register.html HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:31 +0530] "GET /ChatBoxFrontEnd/resources/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:32 +0530] "GET /ChatBoxFrontEnd/img/chat1.png HTTP/1.1" 200 166005
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:52 +0530] "GET /ChatBoxFrontEnd/ HTTP/1.1" 200 1652
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:53 +0530] "GET /ChatBoxFrontEnd/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:53 +0530] "GET /ChatBoxFrontEnd/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:53 +0530] "GET /ChatBoxFrontEnd/lib/sockjs.js HTTP/1.1" 200 79795
